SiteID,DC Number,Site_Type,Region,Name,Address,City,State,Country,Postal_Code,Latitude,Longitude
23350,Y001,P_CC,Cent_ON,Brampton,15 Westcreek Blvd.,Brampton,ON,Canada,L6T 5T4,43.6844,-79.7027
23351,Y002,P_CC,West_AB,Calgary,3852 23rd Street NE,Calgary,AB,Canada,T2E 6T2,51.0867,-114.0062
23352,Y058,P_CO,Cent_ON,YAYA Foods,450b Kipling Avenue,Etobicoke,ON,Canada,M8Z 5E1,43.6085,-79.5221
23353,Y059,P_CO,Cent_ON,Joriki,3431 McNicoll Ave,Scarborough,ON,Canada,M1V 2V3,43.8217,-79.256
23354,Y057,P_CO,Cent_ON,Delta Beverages,21 Marycroft Ave,Woodbridge,ON,Canada,L4L 5Y6,43.7806,-79.5635
23357,Y060,P_CO,Cent_ON,Alliance,201 Speers Road,Oakville,ON,Canada,L6K 2E8,43.4449,-79.6894
23358,Y061,P_CO,West_AB,X-Treme,7910 - 51st Street S.E. ,Calgary,AB,Canada,T2C 4R2,50.9829,-113.9598
23359,YC02,P_CO,West_BC,LMBCArea,,Richmond,BC,Canada,V6V 2B8,49.17925,-123.0772
23360,YC02,P_CO,West_BC,CalgaryArea,,Calgary,AB,Canada,T2C 2V2,50.88565,-113.7641
23361,Y049,P_CC,West_MB,WinnipegCC,1331 Inkster Blvd,Winnipeg,MB,Canada,R2X 1P6,49.9434,-97.1717
23363,Y011,P_PL,Cent_ON,Weston,24 Fenmar Dr,Toronto(Weston),ON,Canada,M9L 1L8,43.7598,-79.5368
23364,Y028,P_PL,East_QC,Lachine,1515. 46e avenue,Lachine,QC,Canada,H8T 2N8,45.4553,-73.7117
23365,Y045,P_PL,West_BC,Richmond,2471 Viking Way,Richmond,BC,Canada,V6V 1N3,49.1962,-123.0746
23366,Y008,W_DB,Cent_ON,Owen Sound,1795 23rd Street East,Owen Sound,ON,Canada,N4K 5N5,44.58608,-80.91494
23367,Y009,W_DB,Cent_ON,Sault Ste Marie,987 Great Northern Rd.,Sault Ste Marie,ON,Canada,P6B 0B9,46.5476,-84.327
23368,Y012,W_XD,Cent_ON,Windsor,3215 Electricity Dr,Windsor,ON,Canada,N8W 5J1,42.2845,-82.9656
23369,Y014,W_XD,East_NB,Edmundston,500 Blvd de L'Acadie,Edmundston  ,NB,Canada,E3V 3L1,47.3643,-68.3259
23370,Y015,W_DB,East_NB,Fredericton,225 Allison Blvd,Fredericton  ,NB,Canada,E3C 2S5,45.8905,-66.6074
