SiteID,Name,Type,Address,City,State,Country,Postal Code,Latitude,Longitude,Custom 1
23350,P_CC_Cent_ON_Y001_Brampton,Existing Site,15 Westcreek Blvd.,Brampton,ON,Canada,L6T 5T4,43.6844,-79.7027,Brampton
23351,P_CC_West_AB_Y002_Calgary,Existing Site,3852 23rd Street NE,Calgary,AB,Canada,T2E 6T2,51.0867,-114.0062,Calgary
23352,P_CO_Cent_ON_Y058_YAYA  Foods,Existing Site,450b Kipling Avenue,Etobicoke,ON,Canada,M8Z 5E1,43.6085,-79.5221,YAYA  Foods
23353,P_CO_Cent_ON_Y059_Joriki,Existing Site,3431 McNicoll Ave,Scarborough,ON,Canada,M1V 2V3,43.8217,-79.256,Joriki
23354,P_CO_Cent_ON_Y057_Delta Beverages,Existing Site,21 Marycroft Ave,Woodbridge,ON,Canada,L4L 5Y6,43.7806,-79.5635,Delta Beverages
23355,P_CO_Cent_ON_XXXX_CottCentral,Existing Site,0,Mississauga,ON,Canada,L4V 1H6,43.6945,-79.6263,CottCentral
23356,P_CO_West_AB_WWWW_CottWest,Existing Site,0,Calgary,AB,Canada,T2C 2V2,50.98565,-113.9641,CottWest
23357,P_CO_Cent_ON_Y060_Alliance,Existing Site,201 Speers Road,Oakville,ON,Canada,L6K 2E8,43.4449,-79.6894,Alliance
23358,P_CO_West_AB_Y061_X-Treme,Existing Site,7910 - 51st Street S.E. ,Calgary,AB,Canada,T2C 4R2,50.9829,-113.9598,X-Treme
23359,P_CO_West_BC_YC02_LMBCArea,Existing Site,,Richmond,BC,Canada,V6V 2B8,49.17925,-123.0772,
23360,P_CO_West_BC_YC02_CalgaryArea,Existing Site,,Calgary,AB,Canada,T2C 2V2,50.88565,-113.7641,
23362,P_PG_Misc_GA_ZZZZ_PurchFGSupply,Existing Site,0,Atlanta,GA,USA,30336,33.7489,-84.5484,PurchFGSupply
23363,P_PL_Cent_ON_Y011_Weston,Existing Site,24 Fenmar Dr,Toronto(Weston),ON,Canada,M9L 1L8,43.7598,-79.5368,Weston
23364,P_PL_East_QC_Y028_Lachine,Existing Site,1515. 46e avenue,Lachine,QC,Canada,H8T 2N8,45.4553,-73.7117,Lachine
23365,P_PL_West_BC_Y045_Richmond,Existing Site,2471 Viking Way,Richmond,BC,Canada,V6V 1N3,49.1962,-123.0746,Richmond
23366,W_DB_Cent_ON_Y008_Owen Sound,Existing Site,1795 23rd Street East,Owen Sound,ON,Canada,N4K 5N5,44.58608,-80.91494,Owen Sound
23367,W_DB_Cent_ON_Y009_Sault Ste Marie,Existing Site,987 Great Northern Rd.,Sault Ste Marie,ON,Canada,P6B 0B9,46.5476,-84.327,Sault Ste Marie
23368,W_XD_Cent_ON_Y012_Windsor,Existing Site,3215 Electricity Dr,Windsor,ON,Canada,N8W 5J1,42.2845,-82.9656,Windsor
23369,W_XD_East_NB_Y014_Edmundston,Existing Site,500 Blvd de L'Acadie,Edmundston  ,NB,Canada,E3V 3L1,47.3643,-68.3259,Edmundston
23370,W_DB_East_NB_Y015_Fredericton,Existing Site,225 Allison Blvd,Fredericton  ,NB,Canada,E3C 2S5,45.8905,-66.6074,Fredericton
23371,W_DB_East_NB_Y017_Saint John,Existing Site,"28 McIlveen Drive, Unit #28",Saint John,NB,Canada,E2J 4Y7,45.2696,-65.9942,Saint John
23372,W_DB_East_NS_Y018_Coldbrook,Existing Site,7165 Cambrooken Court,Coldbrook,NS,Canada,B4R 1A2,45.0688,-64.5695,Coldbrook
23373,W_DB_East_NS_Y020_Stellarton,Existing Site,101 MacGregor Avenue,Stellarton  ,NS,Canada,B0K 2A0,45.5603,-62.6658,Stellarton
23374,W_DB_East_NS_Y022_Truro,Existing Site,310 Prince Place,Truro,NS,Canada,B2N 1C9,45.365,-63.2817,Truro
23375,W_DB_East_NS_Y023_Yarmouth,Existing Site,"345 Highway #1, Unit #3",Yarmouth ,NS,Canada,B5A 1E7,43.9297,-66.1215,Yarmouth
23376,W_XD_East_PE_Y025_Charlottetown,Existing Site,2 Aviation Ave,Winsloe,PE,Canada,C1E 1Z2,46.3139,-63.1676,Charlottetown
23377,W_DB_East_QC_Y032_Trois-Rivieres,Existing Site,8500 boul. Indstriel,Trois-Rivières,QC,Canada,G9A 5E1,46.3552,-72.5381,Trois-Rivieres
23378,W_DB_West_BC_Y036_Chilliwack,Existing Site,44520 Yale Road,Sardis,BC,Canada,V2R 1A9,49.1447,-121.991,Chilliwack
23380,W_XD_West_SK_Y050_Lloydminster,Existing Site,4502-35 Avenue,Lloydminster,SK,Canada,S9V 0Y4,53.2803,-110.0043,Lloydminster
23381,W_DC_Cent_ON_Y004_Barrie,Existing Site,401 Bayview Drive,Barrie ,ON,Canada,L4N 8Y2,44.3404,-79.6776,Barrie
23382,W_DC_Cent_ON_Y001_BramptonDC,Existing Site,15 Westcreek Blvd.,Brampton,ON,Canada,L6T 5T4,43.6844,-79.7027,BramptonDC
23383,W_DC_Cent_ON_Y006_Kingston,Existing Site,800 Innovation Dr,Kingston,ON,Canada,K7K 7E7,44.274197,-76.439718,Kingston
