,, -   ,,,,
Demand Location, Total Demand ,Production/Source Location,First Warehouse,Second Warehouse,Third Warehouse,Product Details
"Y001 Brampton, ON DC"," 23,564,663 ","Y001 Brampton, ON DC",,,,"Brampton PET, Core Cans, BIB, 300ml, 250ml, Dasani"
"Y001 Brampton, ON DC"," 734,805 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
"Y001 Brampton, ON DC"," 33,868 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,1L AHA
"Y001 Brampton, ON DC"," 3,414 ","Y002 Calgary, AB DC",,,,10L BIB skus
"Y001 Brampton, ON DC"," 12,622,135 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y001 Brampton, ON DC"," 128,499 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y001 Brampton, ON DC"," 1,883,011 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,,,"Juice, PA, Glass"
"Y001 Brampton, ON DC"," 726,501 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y001 Brampton, ON DC"," 547,957 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y001 Brampton, ON DC"," 351,905 ",External Purchases,,,,"Smartwater, some BIB"
"Y001 Brampton, ON DC"," 517,933 ",External Purchases,Y053 NFI Toronto Aux WH,,,"Some Smartwater, CorePower, Monster Imports"
"Y002 Calgary, AB DC"," 7,090 ","Y001 Brampton, ON DC",,,,"10L BIB, 2L Kosher Coke"
"Y002 Calgary, AB DC"," 198,462 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml PET"
"Y002 Calgary, AB DC"," 9,903,997 ","Y002 Calgary, AB DC",,,,
"Y002 Calgary, AB DC"," 1,406,871 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"Weston can SKUS - hotfill can, monster"
"Y002 Calgary, AB DC"," 16,533 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y002 Calgary, AB DC"," 1,414,016 ","Y045 Richmond, BC PC","Y044 Richmond, BC DC",,,"Monster, 222ml can"
"Y002 Calgary, AB DC"," 622,433 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,"Y071 TCS Calgary, AB DC",,"Juice, PA, Glass"
"Y002 Calgary, AB DC"," 301,491 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y002 Calgary, AB DC"," 183,288 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y002 Calgary, AB DC"," 440,230 ",External Purchases,"Y071 TCS Calgary, AB DC",,,"Smartwater, Monster Imports"
"Y002 Calgary, AB DC"," 44,843 ",External Purchases,Y053 NFI Toronto Aux WH,,,CorePower
"Y002 Calgary, AB DC"," 10,204 ",External Purchases,,,,non KO BIB
"Y004 Barrie, ON DC"," 4,181,713 ","Y001 Brampton, ON DC",,,," Brampton PET, Core Cans, BIB "
"Y004 Barrie, ON DC"," 166,675 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml, Dasani"
"Y004 Barrie, ON DC"," 230,724 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
"Y004 Barrie, ON DC"," 4,105 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,1L AHA
"Y004 Barrie, ON DC"," 3,183,908 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y004 Barrie, ON DC"," 16,413 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y004 Barrie, ON DC"," 234,856 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,,,"Juice, PA, Glass"
"Y004 Barrie, ON DC"," 147,913 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y004 Barrie, ON DC"," 87,479 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y004 Barrie, ON DC"," 161,432 ",External Purchases,Y053 NFI Toronto Aux WH,,,"Smartwater, CorePower, Monster Imports"
"Y005 Hamilton, ON DC"," 4,070,720 ","Y001 Brampton, ON DC",,,,"Brampton PET, Core Cans, BIB"
"Y005 Hamilton, ON DC"," 193,379 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml, Dasani"
"Y005 Hamilton, ON DC"," 218,122 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
"Y005 Hamilton, ON DC"," 4,282 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,1L AHA
"Y005 Hamilton, ON DC"," 2,978,476 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y005 Hamilton, ON DC"," 12,962 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y005 Hamilton, ON DC"," 245,302 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,,,"Juice, PA, Glass"
"Y005 Hamilton, ON DC"," 132,407 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y005 Hamilton, ON DC"," 99,679 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y005 Hamilton, ON DC"," 186,813 ",External Purchases,Y053 NFI Toronto Aux WH,,,"Smartwater, CorePower, Monster Imports"
"Y006 Kingston, ON DC"," 2,124,198 ","Y001 Brampton, ON DC",,,,"Brampton PET, Core Cans, BIB"
"Y006 Kingston, ON DC"," 87,187 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml, Dasani"
"Y006 Kingston, ON DC"," 128,006 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
"Y006 Kingston, ON DC"," 2,143 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,1L AHA
"Y006 Kingston, ON DC"," 1,609,146 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y006 Kingston, ON DC"," 9,303 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y006 Kingston, ON DC"," 130,209 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,,,"Juice, PA, Glass"
"Y006 Kingston, ON DC"," 76,821 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y006 Kingston, ON DC"," 24,379 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y006 Kingston, ON DC"," 105,636 ",External Purchases,Y053 NFI Toronto Aux WH,,,"Smartwater, CorePower, Monster Imports"
"Y007 London, ON DC"," 5,494,012 ","Y001 Brampton, ON DC",,,," Brampton PET, Core Cans, BIB "
"Y007 London, ON DC"," 240,973 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml, Dasani"
"Y007 London, ON DC"," 277,775 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
"Y007 London, ON DC"," 4,254 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,1L AHA
"Y007 London, ON DC"," 3,617,146 ","Y011 Weston, ON DC",Y053 NFI Toronto Aux WH,,,"All Weston can SKUS - hotfill can, monster, non core SSD"
"Y007 London, ON DC"," 20,597 ","Y028 Lachine, QC PC",Y053 NFI Toronto Aux WH,,,500ml PET small runners
"Y007 London, ON DC"," 307,993 ",Y057 Delta Beverages ,Y053 NFI Toronto Aux WH,,,"Juice, PA, Glass"
"Y007 London, ON DC"," 160,297 ",Y059 Joriki ,Y053 NFI Toronto Aux WH,,,VW
"Y007 London, ON DC"," 120,036 ",Y060 Alliance repack,Y053 NFI Toronto Aux WH,,,Variety Packs
"Y007 London, ON DC"," 213,079 ",External Purchases,Y053 NFI Toronto Aux WH,,,"Smartwater, CorePower, Monster Imports"
"Y008 Owen Sound, ON DB",,,,,,
"Y009 Sault Ste Marie, ON DB",,,,,,
"Y010 Sudbury, ON DC"," 1,236,619 ","Y001 Brampton, ON DC",,,,"Brampton PET, Core Cans, BIB"
"Y010 Sudbury, ON DC"," 64,812 ","Y001 Brampton, ON DC",Y053 NFI Toronto Aux WH,,,"300ml, 250ml, Dasani"
"Y010 Sudbury, ON DC"," 102,921 ","Y002 Calgary, AB DC","Y071 TCS Calgary, AB DC",Y053 NFI Toronto Aux WH,,355ml Can Fresca and Diet A&W
