Key 2,Key 1,Facility,Line,Pack,Pack supply,Pack II,Type,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,TOTAL,Pre Peak,Peak,Post Peak
Lachine Line 1500ml,Lachine Line 1500ml,Lachine ,Line 1,500 ML PET 24,500ml,PET,PET," 57,834 "," 83,023 "," 103,100 "," 99,905 "," 118,342 "," 147,246 "," 114,728 "," 116,168 "," 127,680 "," 91,648 "," 78,568 "," 91,602 "," 1,229,844 "," 343,862 "," 496,484 "," 389,498 "
Lachine Line 1710ml,Lachine Line 1710ml,Lachine ,Line 1,710 ML PET 24,710ml,PET,PET," 161,144 "," 151,670 "," 188,704 "," 188,208 "," 192,378 "," 235,555 "," 160,148 "," 145,203 "," 199,456 "," 161,111 "," 163,591 "," 211,387 "," 2,158,555 "," 689,726 "," 733,284 "," 735,545 "
Lachine Line 12L,Lachine Line 12L,Lachine ,Line 1,2 L PET 8,2L,PET,PET," 165,114 "," 195,509 "," 217,839 "," 182,945 "," 213,531 "," 269,282 "," 218,425 "," 201,978 "," 226,136 "," 180,009 "," 200,632 "," 281,894 "," 2,553,294 "," 761,407 "," 903,216 "," 888,671 "
Lachine Line 212pk,Lachine Line 212pk,Lachine ,Line 2,355 ML CANS 12,12pk,355 Cans,CANS," 945,412 "," 1,027,273 "," 1,294,944 "," 1,128,324 "," 1,232,522 "," 1,551,161 "," 914,291 "," 700,907 "," 753,413 "," 299,994 "," 449,999 "," 379,873 "," 10,678,113 "," 4,395,953 "," 4,398,881 "," 1,883,279 "
Lachine Line 224pk,Lachine Line 224pk,Lachine ,Line 2,355 ML CANS 24,24pk,355 Cans,CANS," 272,341 "," 329,196 "," 434,402 "," 398,262 "," 450,174 "," 590,197 "," 374,021 "," 290,851 "," 315,275 "," 150,000 "," 175,000 "," 189,968 "," 3,969,687 "," 1,434,201 "," 1,705,243 "," 830,243 "
Lachine Line 412pk,Lachine Line 412pk,Lachine ,Line 4,355 ML CANS 12,12pk,355 Cans,CANS, -   , -   , -   , -   , -   , -   ," 355,656 "," 426,787 "," 462,353 "," 875,481 "," 652,756 "," 696,554 "," 3,469,587 ", -   ," 782,443 "," 2,687,144 "
Lachine Line 424pk,Lachine Line 424pk,Lachine ,Line 4,355 ML CANS 24,24pk,355 Cans,CANS, -   , -   , -   , -   , -   , -   ," 58,464 "," 67,234 "," 72,836 "," 185,035 "," 178,796 "," 96,050 "," 658,415 ", -   ," 125,698 "," 532,717 "
Lachine Line 432pk,Lachine Line 432pk,Lachine ,Line 4,355 ML CANS 32,32pk,355 Cans,CANS, -   , -   , -   , -   , -   , -   ," 112,121 "," 91,740 "," 110,049 "," 157,184 "," 114,925 "," 123,428 "," 709,447 ", -   ," 203,861 "," 505,586 "
Lachine Line 4222ml,Lachine Line 4222ml,Lachine ,Line 4,222 ML CANS 24,222ml,355 Cans,CANS, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 201,959 "," 375,411 "," 341,913 "," 919,283 ", -   , -   ," 919,283 "
Lachine Line 510L,Lachine Line 510L,Lachine ,Line 5,10 L BIB,10L,BIB,BIB," 6,773 "," 10,912 "," 15,658 "," 12,843 "," 14,235 "," 18,294 "," 14,833 "," 14,140 "," 17,420 "," 13,530 "," 12,602 "," 15,231 "," 166,471 "," 46,186 "," 61,502 "," 58,783 "
